days_after_dose_1,placebo,vaccine
1,0.000000000000000,0.000000000000000
2,0.025577264653642,0.025577264653642
3,0.046891651865009,0.029840142095915
4,0.068206039076377,0.034103019538188
5,0.085257548845471,0.059680284191829
6,0.102309058614565,0.085257548845471
7,0.115097690941385,0.098046181172292
8,0.153463587921847,0.123623445825932
9,0.157726465364121,0.140674955595027
10,0.179040852575489,0.149200710479574
11,0.196092362344583,0.157726465364121
12,0.213143872113676,0.161989342806395
13,0.251509769094139,0.161989342806395
14,0.260035523978686,0.174777975133215
15,0.264298401420959,0.174777975133215
16,0.272824156305506,0.174777975133215
17,0.285612788632327,0.179040852575489
18,0.315452930728242,0.179040852575489
19,0.332504440497336,0.179040852575489
20,0.336767317939610,0.179040852575489
21,0.345293072824156,0.179040852575489
22,0.366607460035524,0.179040852575489
23,0.387921847246892,0.179040852575489
24,0.413499111900533,0.179040852575489
25,0.430550621669627,0.179040852575489
26,0.447602131438721,0.183303730017762
27,0.460390763765542,0.191829484902309
28,0.468916518650089,0.191829484902309
29,0.498756660746003,0.191829484902309
30,0.532859680284192,0.191829484902309
31,0.558436944937833,0.191829484902309
32,0.571225577264654,0.191829484902309
33,0.588277087033748,0.191829484902309
34,0.596802841918295,0.191829484902309
35,0.601065719360568,0.196092362344583
36,0.601065719360568,0.196092362344583
37,0.630905861456483,0.196092362344583
38,0.643694493783304,0.196092362344583
39,0.652220248667851,0.196092362344583
40,0.682060390763765,0.196092362344583
41,0.703374777975133,0.196092362344583
42,0.711900532859680,0.196092362344583
43,0.733214920071048,0.200355239786856
44,0.746003552397869,0.200355239786856
45,0.767317939609236,0.200355239786856
46,0.771580817051510,0.200355239786856
47,0.788632326820604,0.200355239786856
48,0.805683836589698,0.200355239786856
49,0.826998223801066,0.200355239786856
50,0.861101243339254,0.200355239786856
51,0.895204262877442,0.200355239786856
52,0.907992895204263,0.200355239786856
52.5,0.925044404973357,0.200355239786856
53,0.937833037300178,0.200355239786856
54,0.954884547069272,0.208880994671403
55,0.971936056838366,0.208880994671403
56,1.006039076376550,0.208880994671403
57,1.023090586145650,0.221669626998224
58,1.040142095914740,0.221669626998224
59,1.048667850799290,0.221669626998224
60,1.074245115452930,0.221669626998224
61,1.104085257548850,0.230195381882771
62,1.121136767317940,0.230195381882771
63,1.150976909413850,0.230195381882771
63.5,1.172291296625220,0.230195381882771
65,1.180817051509770,0.234458259325044
66,1.193605683836590,0.234458259325044
66.5,1.202131438721140,0.234458259325044
67,1.223445825932500,0.234458259325044
67.5,1.240497335701600,0.234458259325044
68,1.257548845470690,0.234458259325044
69,1.287388987566610,0.234458259325044
70,1.317229129662520,0.234458259325044
71,1.330017761989340,0.234458259325044
72,1.359857904085260,0.234458259325044
73,1.393960923623450,0.234458259325044
76,1.440852575488460,0.234458259325044
77,1.445115452930730,0.234458259325044
78,1.462166962699820,0.234458259325044
79,1.474955595026640,0.251509769094139
80,1.487744227353460,0.251509769094139
81,1.500532859680280,0.251509769094139
83,1.530373001776200,0.251509769094139
84,1.551687388987570,0.251509769094139
85,1.594316163410300,0.251509769094139
86,1.607104795737120,0.251509769094139
87,1.628419182948490,0.251509769094139
88,1.685968028419180,0.251509769094139
89,1.696625222024870,0.251509769094139
89.25,1.713676731793960,0.251509769094139
91,1.734991119005330,0.251509769094139
91.5,1.747779751332150,0.251509769094139
92,1.803197158081710,0.251509769094139
95,1.845825932504440,0.251509769094139
96,1.943872113676730,0.294138543516874
97,2.080284191829480,0.294138543516874
103,2.246536412078150,0.294138543516874
119,2.246536412078150,0.294138543516874
